"cov01","cov02","cov04c","strata","no_urut","id_unique","gender","gender_text","education","education_text","date_submission_kur","record_reminder","sq02","sq03","sq04","sq05","ir01c","ir01d","ir01e","ir01f","ir02b","ir02c","ir03","ir03a","ir03a_w","ir03a_b","ir03a_c","ir03a_d","ir03a_v","ir05","ir05_tahun","ir06","ir06a","ir06a_w","ir06a_b","ir06a_c","ir06a_d","ir06a_e","ir06a_v","bi01b","bi01b_sector","bi01b_subsector","bi02x","bi02","bi02_repeat_count","bi03calc","bi04x","bi04","bi04_repeat_count","bi06","bi06_a","bi06_b","bi06_c","bi06_d","bi06_e","bi06_f","bi06_g","bi06_h","bi06_i","bi06_j","bi06_k","bi06_l","bi06_m","bi06_n","bi06_o","bi06_p","bi06_q","bi06_r","bi06_s","bi06_t","bi06_z","bi06_v","bi06_calc","bi06a","bi07","bi07_a","bi07_b","bi07_c","bi07_d","bi07_e","bi07_f","bi07_g","bi07_v","bi07_w","bi07_y","bi08a","bi08b","bi08b1","bi08b2","bi08b3","bi08b4","bi08b5","bi08b6","bi08b7","bi08b8","bi08b9","bi08_repeat_count","cl01x","cl01a","cl01b","cl02","cl02_a","cl02_b","cl02_c","cl02_d","cl02_e","cl02_f","cl02_g","cl02_h","cl02_i","cl02_j","cl02_v","cl02a","cl03_a","cl03_b","cl03_c","cl03_d","cl04ax","cl04a","cl04b_min","cl04b_max","cl04c","cl05ax","cl05a","cl05b_min","cl05b_max","cl05c","reserved_name_for_field_list_lab","cl06","cl07","cl08","cl09","cl10","cl11","bp01","bp02","bp03","bp04","bp05","bp06","bp07","bp08","bp09","bp10","we01_a","we01_b","we01_c","we01_d","ri01ax","ri01a","ri01b_min","ri01b_max","ri01c","ri02ax","ri02a","ri02b_min","ri02b_max","ri02c","fl01","v195","fl02a","fl02b","fl02c","fl02d","fl02e","fl02f","fl02g","fl02h","fl02i","fl02j","fl02k","fl02l","fl02m","fl02v","fl02_warn","fl02_calc","fl03a1","fl03a2","fl03b1","fl03b2","fl04","fl05","fl06","fl07x","fl07","fl08x","fl08","fl09","v226","rf01a","rf01b","rf01cc","rf01dd","rf01e","rf01f","rf01g","rf01h","rf01i","rf01j","rf01k","rf01l","rf01m","rf01n","rf01v","rf01_warn","rf01_calc","rf01a1","rf01a2","rf01b1","rf01b2","rf01c","rf01d","rf02","rf03","rf04","rf04_a","rf04_b","rf04_c","rf04_d","rf04_v","rf04_w","rf04_y","rf05_repeat_count","rf06","rf07x","rf07","rf08","rf09","rf10_period","rf10","rf10_percent","rf10_rupiah","rf11","rf11_rupiah","rf12","rf13","rf13_a","rf13_b","rf13_c","rf13_d","rf13_e","rf13_f","rf13a","rf13b","rf13c","rf13d","rf13e","rf13f","rf13_calc","rf14","rf14_a","rf14_b","rf14_c","rf14_d","rf14_e","rf14_f","rf14_g","rf14a","rf14b","rf14c","rf14d","rf14e","rf14f","rf14g","rf14_calc","rf15_group_count","rf16a","rf16b","rf16c","rf16d","rf16e","rf16f","rf16g","rf16h","rf16i","ke01","ke02","ke03","ke03_rupiah","ke04","ke05","ke05_a","ke05_b","ke05_c","ke05_d","ke05_e","ke05_v","ke06","ke07","ke08","ke09","ke10","ke11","ke12","ke12_a","ke12_b","ke12_c","ke12_d","ke12_v","ke12_w","ke13","ke13_a","ke13_b","ke13_c","ke13_d","ke13_e","ke13_f","ke13_g","ke13_v","co01","co02","co02_a","co02_b","co02_c","co02_d","co02_e","co02_v","co03","co04","co05","co05a","co05b","co06x","co06","co07","co08","co09","co09_a","co09_b","co09_c","co09_d","co09_e","co09_f","co09_v","co09a","co09b","co09c","co09d","co09e","co09f","co09v","co10","co11","co12","end_time","cov08","cov09","weight","sd","start_date","wgt","birth1","birth2","birth3","birth_month_year"
"KALIMANTAN BARAT","PONTIANAK",2,10,45,"S10_45",1,"MALE",4,"DIPLOMA","21-09-2018","YA",1,1,1,3,1,96,5,1,,,"98-98-2018","D",0,0,0,1,0,1,,"98-98-2011","C E",0,0,1,0,1,0,"CAR RENTAL BUSINESS",49,494,1,2,2,100,1,2,2,"A B K L",1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,"A","A B C D E G",1,1,1,1,1,0,1,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,3,1,1,1,1,10,0,11,1,120000000,,,,1,10000000,,,,"98-2018",,3,3,3,3,3,3,1,3,3,1,1,1,1,3,5,"G   J K L M","G","L","M","L",3,,,,,1,400000000,7,,1,3,3,3,3,3,3,1,3,3,3,3,3,1,3,3,"A       H      N","H","A","N","AA",20000000,1,1,1,,,,,,,,,1,2,1,10000000,24,3,,,,,1,1120000,1,"B",0,1,0,0,0,0,0,"100",0,0,0,0,100,"B",0,1,0,0,0,0,0,0,100,0,0,0,0,0,100,4,1,1,3,1,3,3,3,3,3,1,1,1,500000,2,"B D E",0,1,0,1,1,0,1,1,1,3,95,1,"W",0,0,0,0,0,1,"E",0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13:26:03",1,,1355.25,"01-01-2011",1/1/2011,1355,"11","12","1986","121986"
"SULAWESI SELATAN","BANTAENG",2,27,63,"S27_63",2,"FEMALE",1,"ELEMENTARY SCHOOL (SD)","29-11-2019","YA",1,1,1,3,3,96,3,96,3,7,"29-11-2019","W",1,0,0,0,0,1,,"02-05-2005","W",1,0,0,0,0,0,"RETAIL ON RICE FROM FARMERS TO CONSUMERS ",47,472,1,1,1,100,1,2,2,"A K L",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,"L","G",0,0,0,0,0,0,1,0,0,0,1,1,"COFFEE, COCOA, AND COTTON PLANTATION",,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,3,3,1,1,1,0,3,2,5,1,7500000,,,,1,500000,,,,"11-2019",,3,3,3,3,3,3,3,3,3,3,1,3,1,3,2,"K  M","M","AA","K","M",3,,,,,96,,,,1,3,3,3,3,3,3,3,3,3,3,3,3,1,3,2,"A             N","A","N","A","N",50000000,1,1,1,,,,,,,,,1,2,1,150000000,36,3,,,,,1,1550000,96,"A E",1,0,0,0,1,0,70,"0",0,0,30,0,100,"A B E",1,1,0,0,1,0,0,40,30,0,0,30,0,0,100,4,3,3,1,96,96,96,1,3,1,1,2,1,200000,5,"A B D E",1,1,0,1,1,0,1,1,1,1,96,1,"W",0,0,0,0,0,1,"A",1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10:59:39",1,,1463.875,"02-05-2005",5/2/2005,1464,"31","12","1965","121965"
"KALIMANTAN TIMUR","KUTAI KARTANEGARA",2,12,62,"S12_62",1,"MALE",3,"SENIOR HIGH SCHOOL (SMA)","01-02-2020","YA",1,1,1,3,1,96,5,96,,,"01-02-2020","W",1,0,0,0,0,1,,"07-01-2014","A C",0,0,1,0,0,0,"WHOLESALE OF SALT WATER FISHES IN STORE",46,462,1,1,1,100,1,2,2,"A K L",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,"A","E G",0,0,0,0,1,0,1,0,0,0,1,2,"GROCERIES STORE ","RETAIL OF GASOLINE ",,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,1,3,1,3,3,1,1,1,3,1,100000000,,,,1,15000000,,,,"02-2020",,1,3,3,3,3,3,1,3,3,3,3,3,1,3,3,"A      G      M","A","G","A","M",1,1,100000000,98,,1,100000000,1,,1,3,3,3,3,3,3,3,3,3,3,3,3,1,3,2,"A             N","W","AA","A","N",150000000,1,1,1,,,,,,,,,1,2,1,250000000,48,1,1,1,0.200000002980232,,,,1,"A",1,0,0,0,0,0,100,"0",0,0,0,0,100,"A D",1,0,0,1,0,0,0,67,0,0,33,0,0,0,100,4,3,3,1,3,3,1,3,3,3,1,2,1,4400000,4,"A D E",1,0,0,1,1,0,1,1,98,1,96,1,"W",0,0,0,0,0,1,"A",1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15:10:21",1,,1453.75,"07-01-2014",1/7/2014,1454,"23","09","1985","091985"
"JAWA TIMUR","PROBOLINGGO",2,5,547,"S5_547",2,"FEMALE",1,"ELEMENTARY SCHOOL (SD)","11-05-2019","YA",1,1,1,3,3,96,5,1,,,"98-05-2019","D",0,0,0,1,0,1,,"98-98-1996","C E",0,0,1,0,1,0,"TOBACCO PLANTATIONS SOLD TO CIGARETTE FACTORY WAREHOUSE",1,11,1,1,1,100,1,2,2,"A K L",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,"A","G",0,0,0,0,0,0,1,0,0,0,1,2,"PADDY AGRICULTURE","CORN AGRICULTURE",,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,3,3,3,3,3,0,39,1,40,1,7000000,,,,1,7000000,,,,"05-2018",,3,3,3,3,3,3,3,3,3,3,3,3,1,3,1,"M","M","AA","M","AA",1,3,15000000,98,,1,5000000,1,,1,3,3,3,3,3,3,3,3,3,3,3,3,1,3,2,"A             N","A","AA","A","N",25000000,1,3,3,,,,,,,,,3,2,1,500000000,6,3,,,,,1,125000,1,"A",1,0,0,0,0,0,100,"0",0,0,0,0,100,"A",1,0,0,0,0,0,0,100,0,0,0,0,0,0,100,4,3,3,1,3,3,3,96,96,96,4,2,3,,3,"A D E",1,0,0,1,1,0,1,1,98,1,96,1,"B",0,1,0,0,0,0,"E",0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16:52:01",1,,7192.02978515625,"01-01-1996",1/1/1996,7192,"04","11","1971","111971"
"JAWA TIMUR","BANYUWANGI",2,6,1160,"S6_1160",1,"MALE",1,"ELEMENTARY SCHOOL (SD)","16-05-2017","YA",1,1,1,3,1,96,3,96,,,"16-05-2017","W",1,0,0,0,0,1,,"07-03-2010","W",1,0,0,0,0,0,"SEMBAKO RETAIL IN A STORE",47,471,1,1,1,100,1,2,2,"A K L",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,"A","A G",1,0,0,0,0,0,1,0,0,0,1,1,"MEUBELER",,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,1,3,1,3,1,1,0,0,1,1,15000000,,,,1,1500000,,,,"05-2017",,3,3,3,3,3,3,3,3,3,3,3,1,1,3,2,"L M","M","L","L","M",3,,,,,96,,,,1,3,3,3,3,3,3,3,3,3,3,3,3,1,3,2,"A             N","A","N","N","A",25000000,1,1,1,,,,,,,,,1,2,1,7000000,36,1,1,1,0.400000005960464,,,,1,"A",1,0,0,0,0,0,100,"0",0,0,0,0,100,"A B F",1,1,0,0,0,1,0,60,30,0,0,0,10,0,100,4,1,3,1,3,3,3,1,3,3,4,1,1,30000,4,"A D E V",1,0,0,1,1,1,1,1,98,1,96,1,"W",0,0,0,0,0,1,"V",0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10:35:34",1,,13170.4345703125,"07-03-2010",3/7/2010,13170,"05","03","1977","031977"
"JAWA TENGAH","JEPARA",2,6,1168,"S6_1168",1,"MALE",3,"SENIOR HIGH SCHOOL (SMA)","28-09-2019","YA",1,1,1,3,1,96,5,96,,,"28-09-2019","W",1,0,0,0,0,1,,"20-10-2016","W",1,0,0,0,0,0,"FOTOCOPY SERVICE AND SALES OF STATIONERY (ATK)",47,476,1,1,1,100,1,2,2,"A K L",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,"A","G",0,0,0,0,0,0,1,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,1,3,1,3,3,0,0,0,0,1,2000000,,,,1,400000,,,,"98-2016",,3,3,3,3,3,3,3,3,3,3,1,1,1,3,3,"K L M","L","K","M","L",3,,,,,96,,,,1,3,3,3,3,3,3,3,3,1,3,3,3,1,3,3,"A         J    N","A","AA","J","N",25000000,1,2,2,,,,,,,,,2,2,1,100000000,24,3,,,,,1,1119000,1,"A B",1,1,0,0,0,0,50,"50",0,0,0,0,100,"A B",1,1,0,0,0,0,0,50,50,0,0,0,0,0,100,4,3,3,1,3,3,3,3,3,3,1,2,1,98,4,"A B D E V",1,1,0,1,1,1,1,1,3,1,95,1,"A B",1,1,0,0,0,0,"C",0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11:22:36",1,,13170.4345703125,"20-10-2016",10/20/2016,13170,"16","01","1974","011974"
"JAWA TIMUR","SUMENEP",2,6,1173,"S6_1173",1,"MALE",3,"SENIOR HIGH SCHOOL (SMA)","14-04-2019","YA",1,1,1,3,1,96,4,1,,,"14-04-2019","W",1,0,0,0,0,1,,"10-01-2005","W",1,0,0,0,0,0,"ELECTRONIC EQUIPMENTS SERVICES SUCH AS MAGIC COM, BLENDERS AND OTHERS",95,952,1,1,1,100,1,1,1,"A K",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,"A","G",0,0,0,0,0,0,1,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,1,3,1,1,1,0,1,0,1,1,2000000,,,,1,1500000,,,,"04-2019",,3,3,3,3,3,3,3,3,3,3,3,1,1,3,2,"L M","L","AA","M","L",3,,,,,96,,,,1,3,3,3,3,3,3,3,3,3,3,3,3,1,3,2,"A             N","N","AA","A","N",25000000,1,1,1,,,,,,,,,1,2,1,10000000,24,3,,,,,1,1119000,1,"A",1,0,0,0,0,0,100,"0",0,0,0,0,100,"A",1,0,0,0,0,0,0,100,0,0,0,0,0,0,100,4,3,3,3,3,3,1,3,3,3,1,2,1,100000,3,"A D E",1,0,0,1,1,0,1,1,98,5,96,1,"W",0,0,0,0,0,1,"B",0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12:04:12",1,,13170.4345703125,"10-01-2005",1/10/2005,13170,"07","08","1977","081977"
"JAWA TIMUR","MADIUN(KOTA)",2,6,1359,"S6_1359",1,"MALE",2,"JUNIOR HIGH SCHOOL (SMP)","14-03-2016","YA",1,1,1,3,1,96,4,96,,,"98-98-2016","D",0,0,0,1,0,1,,"98-98-2013","E",0,0,0,0,1,0,"RETAIL OF LPG 3 KG, GALON WATER, AQUA AND CLEO BRANDS IN A STORE ",47,477,1,1,1,100,1,1,1,"A K",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,"A","G",0,0,0,0,0,0,1,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,3,3,1,3,3,0,0,0,0,1,1500000,,,,1,400000,,,,"98-2016",,3,3,3,3,3,3,3,3,3,1,3,3,1,3,2,"J   M","W","AA","J","M",3,,,,,1,2000000,11,,1,3,3,3,3,3,3,3,3,3,3,3,3,1,3,2,"A             N","W","AA","A","N",15000000,1,1,1,,,,,,,,,1,2,98,,24,1,1,1,0.5,,,,3,"A",1,0,0,0,0,0,100,"0",0,0,0,0,100,"A",1,0,0,0,0,0,0,100,0,0,0,0,0,0,100,4,3,3,3,3,3,1,3,3,3,1,2,1,98,3,"A D E",1,0,0,1,1,0,1,98,98,5,96,1,"W",0,0,0,0,0,1,"V",0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13:39:38",1,,13170.4345703125,"01-01-2013",1/1/2013,13170,"07","08","1970","081970"
"JAWA TIMUR","BANYUWANGI",2,6,1366,"S6_1366",1,"MALE",2,"JUNIOR HIGH SCHOOL (SMP)","09-06-2016","YA",1,1,1,3,1,96,4,96,,,"09-06-2016","W",1,0,0,0,0,2,2017,"98-98-2014","C E",0,0,1,0,1,0,"STREET SELLING ON VEGETABLES",47,479,1,1,1,100,1,1,1,"A K Z",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,"A","G",0,0,0,0,0,0,1,0,0,0,1,1,"VANAME SHRIMP CULTIVATION",,,,,,,,,1,3,,,"V",0,0,0,0,0,0,0,0,0,0,1,,0,0,1,1,1,35000000,,,,1,7000000,,,,,3,3,3,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,"06-2016",,3,3,3,3,3,3,3,3,3,3,3,1,1,3,2,"L M","L","M","M","L",3,,,,,96,,,,1,3,3,3,3,3,3,3,3,3,3,3,3,1,3,2,"A             N","A","AA","N","A",25000000,1,1,1,,,,,,,,,1,2,1,17000000,36,1,1,1,0.300000011920929,,,,1,"A",1,0,0,0,0,0,100,"0",0,0,0,0,100,"A B",1,1,0,0,0,0,0,75,25,0,0,0,0,0,100,4,3,3,1,3,3,1,3,1,3,1,2,1,21000,3,"A D E",1,0,0,1,1,0,1,3,98,1,96,1,"W",0,0,0,0,0,1,"V",0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14:30:02",1,,13170.4345703125,"01-01-2014",1/1/2014,13170,"03","07","1989","071989"
"JAWA TENGAH","PATI",2,6,1369,"S6_1369",1,"MALE",2,"JUNIOR HIGH SCHOOL (SMP)","27-07-2018","YA",1,1,1,3,1,96,4,96,,,"27-07-2018","W",1,0,0,0,0,1,,"01-01-2008","W",1,0,0,0,0,0,"RETAIL OF SEMBAKO, SUCH AS RICE, EGGS, SUGAR, COFFEE AND OTHERS IN STORES ",47,471,1,1,1,100,1,2,2,"A K L",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,"L","G",0,0,0,0,0,0,1,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,3,3,1,3,3,0,0,0,0,1,15000000,,,,1,4500000,,,,"98-2010",,3,3,3,3,3,3,3,3,3,3,3,1,1,3,2,"L M","L","M","M","L",3,,,,,96,,,,1,1,3,3,3,3,3,3,3,3,3,3,3,1,3,3,"A  B           N V","A","N","A","N",25000000,1,7,7,,,,,,,,,7,2,1,3000000,18,1,1,1,0.200000002980232,,,,1,"A",1,0,0,0,0,0,100,"0",0,0,0,0,100,"A",1,0,0,0,0,0,0,100,0,0,0,0,0,0,100,4,3,3,3,3,3,3,3,3,3,1,2,1,25000,3,"A D E",1,0,0,1,1,0,1,1,1,1,96,1,"B",0,1,0,0,0,0,"C",0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15:18:17",1,,13170.4345703125,"01-01-2008",1/1/2008,13170,"05","07","1983","071983"
"JAWA BARAT","SUKABUMI",2,6,1372,"S6_1372",1,"MALE",1,"ELEMENTARY SCHOOL (SD)","03-05-2018","YA",1,1,1,3,1,96,4,1,,,"03-05-2018","W",1,0,0,0,0,2,2020,"98-98-2000","C E",0,0,1,0,1,0,"SEMBAKO RETAIL IN A STORE",47,471,1,1,1,100,1,1,1,"A K Z",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,"A","G",0,0,0,0,0,0,1,0,0,0,1,2,"SOUND SYSTEM RENT SERVICE","ELECTRONIC EQUIPMENTS SERVICE",,,,,,,,2,1,"JUL, 2020",1,"E",0,0,0,0,1,0,0,0,0,0,0,,0,0,1,1,1,15000000,,,,1,3000000,,,,,3,3,3,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,"98-2015",,3,3,3,3,3,3,3,3,3,3,3,1,1,3,2,"L M","M","AA","M","L",3,,,,,96,,,,1,3,3,3,3,3,3,3,3,3,3,3,1,1,3,3,"A            M N","W","AA","A","N",20000000,1,3,3,,,,,,,,,3,2,1,50000000,24,1,1,1,0.200000002980232,,,,1,"A",1,0,0,0,0,0,100,"0",0,0,0,0,100,"A",1,0,0,0,0,0,0,100,0,0,0,0,0,0,100,4,3,3,1,3,3,3,3,3,3,4,2,1,300000,3,"A D E",1,0,0,1,1,0,1,1,98,1,98,1,"B C",0,1,1,0,0,0,"F",0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17:09:49",1,,13170.4345703125,"01-01-2000",1/1/2000,13170,"06","03","1979","031979"
"DKI JAKARTA","JAKARTA TIMUR",2,6,2107,"S6_2107",1,"MALE",1,"ELEMENTARY SCHOOL (SD)","05-04-2019","YA",1,1,1,3,1,96,3,96,,,"05-04-2019","W",1,0,0,0,0,1,,"09-12-2015","W",1,0,0,0,0,0,"CAR AND MOTORCYCLE STICKERS SELLER",47,478,1,1,1,100,1,1,1,"A",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,"G",0,0,0,0,0,0,1,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,3,3,3,3,3,1,0,0,1,1,1500000,,,,1,1000000,,,,"04-2019",,3,3,3,3,3,3,3,1,3,1,1,1,1,3,5,"H  J K L M","J","H","H","L",3,,,,,1,500000,8,,1,3,3,3,3,3,3,3,3,3,3,3,3,1,3,2,"A             N","N","AA","A","N",5000000,1,1,1,,,,,,,,,1,2,1,5000000,18,3,,,,,1,290000,1,"A B F",1,1,0,0,0,1,70,"10",0,0,0,20,100,"A B F",1,1,0,0,0,1,0,70,10,0,0,0,20,0,100,4,3,3,3,3,3,3,3,3,3,1,2,1,50000,3,"A B D E",1,1,0,1,1,0,1,1,98,6,5,1,"A",1,0,0,0,0,0,"F V",0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07:45:29",1,,13170.4345703125,"09-12-2015",12/9/2015,13170,"10","05","1982","051982"
"DKI JAKARTA","JAKARTA UTARA",2,8,90,"S8_90",1,"MALE",1,"ELEMENTARY SCHOOL (SD)","10-02-2020","YA",1,1,1,3,1,96,3,96,,,"10-02-2020","W",1,0,0,0,0,1,,"04-02-2018","W",1,0,0,0,0,0,"GROCERIES STALL ",47,471,1,1,1,100,1,1,1,"A",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,"B",0,1,0,0,0,0,0,0,0,0,1,1,"AIRTIME TOPUP COUNTER",,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,1,1,1,3,3,3,1,0,0,0,0,1,4000000,,,,1,2000000,,,,"02-2020",,3,3,3,3,3,3,3,3,3,3,1,3,1,3,2,"K  M","K","M","K","M",3,,,,,1,5000000,11,,1,3,3,3,3,3,3,3,3,3,3,3,3,1,3,2,"A             N","A","N","N","A",50000000,1,1,1,,,,,,,,,1,2,1,20000000,36,3,,,,,1,1300000,1,"A B E",1,1,0,0,1,0,25,"5",0,0,70,0,100,"A B E",1,1,0,0,1,0,0,25,5,0,0,70,0,0,100,4,3,1,1,96,96,96,1,3,3,3,2,1,30000,3,"B D E",0,1,0,1,1,0,1,1,3,1,5,1,"W",0,0,0,0,0,1,"D",0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11:57:11",1,,2518.0625,"04-02-2018",2/4/2018,2518,"18","10","1996","101996"
"JAWA BARAT","CIREBON",2,6,2103,"S6_2103",1,"MALE",2,"JUNIOR HIGH SCHOOL (SMP)","08-05-2018","YA",1,1,1,3,1,96,5,1,,,"08-05-2018","W",1,0,0,0,0,1,,"98-08-2009","B C E",0,1,1,0,1,0,"SHALLOTS AGRICULTURE",1,11,1,1,1,100,1,1,1,"A",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,"B G",0,1,0,0,0,0,1,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,3,3,1,3,1,2,0,0,2,1,85000000,,,,1,98,,,,"98-2016",,1,1,3,3,3,3,3,3,3,3,3,1,1,3,4,"A B          L M","M","L","M","A",1,3,30000000,1,6,1,10000000,1,,1,3,3,3,3,3,3,3,3,3,1,3,3,1,3,3,"A          K   N","A","N","A","N",25000000,1,2,2,,,,,,,,,2,2,1,250000000,6,3,,,,,1,26000000,1,"A",1,0,0,0,0,0,100,"0",0,0,0,0,100,"A",1,0,0,0,0,0,0,100,0,0,0,0,0,0,100,4,3,3,3,3,3,3,3,3,3,1,2,1,24000,4,"A B D E",1,1,0,1,1,0,1,1,1,1,3,1,"A",1,0,0,0,0,0,"A",1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13:52:15",1,,13170.4345703125,"01-08-2009",8/1/2009,13170,"12","07","1972","071972"
"JAWA BARAT","BEKASI",2,6,2150,"S6_2150",1,"MALE",3,"SENIOR HIGH SCHOOL (SMA)","09-06-2016","YA",1,1,1,3,1,96,5,96,,,"09-06-2016","W",1,0,0,0,0,1,,"01-04-2006","W",1,0,0,0,0,0,"MOTORCYCLE SERVICE, MAINTENANCE AND SPARE PART ",45,454,1,1,1,100,1,1,1,"A",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,"B G",0,1,0,0,0,0,1,0,0,0,1,1,"USED VEHICLE TRADING ",,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,3,3,1,1,3,1,3,1,1,1,1,3,1,45000000,,,,1,12000000,,,,"06-2016",,3,3,3,3,3,3,3,3,3,1,1,1,1,3,4,"J K L M","M","L","L","K",3,,,,,1,2000000,11,,1,1,3,3,3,3,3,3,3,3,3,3,3,1,3,3,"A B            N","A","N","B","N",80000000,2,2,2,,,,,,,,,2,3,1,300000000,36,1,1,1,0.899999976158142,,,,1,"A F",1,0,0,0,0,1,30,"0",0,0,0,70,100,"A F",1,0,0,0,0,1,0,30,0,0,0,0,70,0,100,4,3,3,1,3,3,3,3,3,3,1,1,1,15000,3,"A B D E",1,1,0,1,1,0,1,1,3,1,98,1,"W",0,0,0,0,0,1,"D F",0,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15:52:42",1,,13170.4345703125,"01-04-2006",4/1/2006,13170,"10","09","1979","091979"
